CAT revision 69 GST ref 37

=== PRAETOR/CENTURION ARMOURY + WEAPONS ===
ENTRY hq-praetor | Legion Praetor
    LINK hq-centurion-tw-5 | Combi-Plasma Gun -> gear-combi-plasma | max=1 field=selections scope=parent
    LINK hq-centurion-tw-6 | Combi-Volkite Charger -> gear-combi-volkite | max=1 field=selections scope=parent
    LINK hq-centurion-tw-7 | Foeblaster Boltgun -> gear-foeblaster | max=1 field=selections scope=parent
    LINK hq-centurion-tw-8 | Storm Bolter -> gear-storm-bolter | max=1 field=selections scope=parent
    LINK hq-centurion-tw-9 | Volkite Charger -> gear-volkite-charger | max=1 field=selections scope=parent
    LINK da22-hq-centurion-greatsword | Terranic Greatsword -> da22-greatsword | max=1 field=selections scope=parent
  GROUP hq-centurion-wargear | Additional Wargear (max 100 Armoury pts combined) | max=100 field=pts scope=parent
    LINK hq-centurion-wg-0 | Combat Shield -> gear-hq-combat-shield | max=1 field=selections scope=parent
    LINK hq-centurion-wg-1 | Boarding Shield -> gear-hq-boarding | max=1 field=selections scope=parent
    LINK hq-centurion-wg-2 | Refractor Field -> gear-hq-refractor | max=1 field=selections scope=parent
    LINK hq-centurion-wg-3 | Auspex -> gear-hq-auspex | max=1 field=selections scope=parent
    LINK hq-centurion-wg-4 | Bionics -> gear-hq-bionics | max=1 field=selections scope=parent
    LINK hq-centurion-wg-5 | Digital Weapons -> gear-hq-digital | max=1 field=selections scope=parent
    LINK hq-centurion-wg-6 | Master-crafted Weapon -> gear-hq-mastercraft | max=1 field=selections scope=parent
    LINK hq-centurion-wg-7 | Nuncio Vox -> gear-hq-nuncio | max=1 field=selections scope=parent
    LINK hq-centurion-wg-8 | Psychic Hood -> gear-hq-hood | max=1 field=selections scope=parent
    LINK hq-centurion-wg-9 | Purity Seals -> gear-hq-purity | max=1 field=selections scope=parent
    LINK hq-centurion-wg-10 | Signum -> gear-hq-signum | max=1 field=selections scope=parent
    LINK hq-centurion-wg-11 | Teleport Homer -> gear-hq-homer | max=1 field=selections scope=parent
    LINK hq-centurion-wg-12 | Terminator Honours -> gear-hq-honours | max=1 field=selections scope=parent
    LINK hq-centurion-wg-13 | Melta Bombs -> gear-hq-melta-bombs | max=1 field=selections scope=parent
    LINK hq-centurion-iron-halo | Iron Halo -> gear-hq-iron-halo | max=1 field=selections scope=parent
    LINK r39-phosphex-hq-centurion-wargear | Phosphex Bomb (Destroyer Company) -> gear-phosphex-bomb | max=1 field=selections scope=parent
    LINK r40-da-hq-centurion-transponders | Teleportation Transponders -> da22-transponders | max=1 field=selections scope=parent
    LINK r44-hq-centurion-r44-nl-trophies | Trophies of Judgement -> r44-nl-trophies | max=1 field=selections scope=parent
    LINK r44-hq-centurion-r44-nl-stealth-ic | Stealth Adept -> r44-nl-stealth-ic | max=1 field=selections scope=parent
    LINK r44-hq-centurion-r44-nl-transponder-character | Teleportation Transponders -> r44-nl-transponder-character | max=1 field=selections scope=parent
    LINK r44-hq-centurion-r44-ba-death-mask | Death Mask -> r44-ba-death-mask | max=1 field=selections scope=parent
    LINK r44-hq-centurion-r44-ba-inferno-pistol | Inferno Pistol -> r44-ba-inferno-pistol | max=1 field=selections scope=parent
    LINK r44-hq-centurion-r44-ih-servo-arm | Servo-Arm -> r44-ih-servo-arm | max=1 field=selections scope=parent
    LINK r44-hq-centurion-r44-ih-mechadendrites | Mechadendrites -> r44-ih-mechadendrites | max=1 field=selections scope=parent
    LINK r44-hq-centurion-r44-ih-gladius | Albian Power Gladius -> r44-ih-gladius | max=1 field=selections scope=parent
    LINK r44-hq-centurion-r44-ih-bionics-character | Bionics -> r44-ih-bionics-character | max=1 field=selections scope=parent
    LINK r45-hq-centurion-r45-ts-arcane-litanies | Arcane Litanies -> r45-ts-arcane-litanies | max=1 field=selections scope=parent
    LINK r45-hq-centurion-r45-ts-asphyx-ic | Asphyx Shells -> r45-ts-asphyx-ic | max=1 field=selections scope=parent
    LINK r45-hq-centurion-r45-ts-trans-ic | Teleportation Transponders -> r45-ts-trans-ic | max=1 field=selections scope=parent
    LINK r46-hq-centurion-r46-soh-banestrike-character | Banestrike Ammunition -> r46-soh-banestrike-character | max=1 field=selections scope=parent
    LINK r46-hq-centurion-r46-soh-transponder-character | Teleportation Transponders -> r46-soh-transponder-character | max=1 field=selections scope=parent
    LINK r46-hq-centurion-r46-wb-burning-lore | Burning Lore -> r46-wb-burning-lore | max=1 field=selections scope=parent
    LINK r46-centurion-wb-burning-lore-diabolist | Burning Lore (Diabolist) -> r46-wb-burning-lore | max=1 field=selections scope=parent
    LINK r46-hq-centurion-r46-sal-inferno-pistol | Inferno Pistol -> r46-sal-inferno-pistol | max=1 field=selections scope=parent
    LINK r46-hq-centurion-r46-rg-talons-character | Upgrade Lightning Claws to Raven’s Talons -> r46-rg-talons-character | max=1 field=selections scope=parent
    LINK r46-hq-centurion-r46-rg-hand-cannon | Fulcrum Hand Cannon -> r46-rg-hand-cannon | max=1 field=selections scope=parent
    LINK r46-hq-centurion-r46-rg-infravisor | Infravisor -> r46-rg-infravisor | max=1 field=selections scope=parent
    LINK r46-hq-centurion-r46-rg-shroud-character | Shroud Bombs -> r46-rg-shroud-character | max=1 field=selections scope=parent
    LINK r46-hq-centurion-r46-rg-cameleoline | Cameleoline -> r46-rg-cameleoline | max=1 field=selections scope=parent
    LINK r46-hq-centurion-r46-rg-trans-character | Teleportation Transponders -> r46-rg-trans-character | max=1 field=selections scope=parent
    LINK r46-hq-centurion-r46-al-banestrike-character | Banestrike Ammunition -> r46-al-banestrike-character | max=1 field=selections scope=parent
    LINK r46-hq-centurion-r46-al-venom-spheres | Venom Spheres -> r46-al-venom-spheres | max=1 field=selections scope=parent
    LINK r46-hq-centurion-r46-al-trans-character | Teleportation Transponders -> r46-al-trans-character | max=1 field=selections scope=parent
    LINK r47-hq-centurion-ws-horsetail | Horsetail Talisman -> r47-ws-horsetail-talisman | max=1 field=selections scope=parent
    LINK r47-hq-centurion-wb-favour-aura | Favour of the Pantheon — Daemonic Aura -> r47-wb-favour-aura | max=1 field=selections scope=parent
    LINK r47-hq-centurion-wb-favour-mutation | Favour of the Pantheon — Daemonic Mutation -> r47-wb-favour-mutation | max=1 field=selections scope=parent
    LINK r47-hq-centurion-wb-favour-strength | Favour of the Pantheon — Daemonic Strength -> r47-wb-favour-strength | max=1 field=selections scope=parent
    LINK r47-hq-centurion-wb-favour-visage | Favour of the Pantheon — Daemonic Visage -> r47-wb-favour-visage | max=1 field=selections scope=parent
  GROUP hq-centurion-ret-command-weapons | Weapon Replacements (each model may replace Bolt Pistol and/or Chainsword) | max=10 field=selections scope=parent
    LINK hq-centurion-ret-command-w-0 | Bolter -> gear-bolter | max=5 field=selections scope=parent
    LINK hq-centurion-ret-command-w-1 | Storm Bolter -> gear-storm-bolter | max=5 field=selections scope=parent
    LINK hq-centurion-ret-command-w-2 | Combi-Flamer -> gear-combi-flamer | max=5 field=selections scope=parent
    LINK hq-centurion-ret-command-w-3 | Combi-Meltagun -> gear-combi-melta | max=5 field=selections scope=parent
    LINK hq-centurion-ret-command-w-4 | Combi-Plasma Gun -> gear-combi-plasma | max=5 field=selections scope=parent
    LINK hq-centurion-ret-command-w-5 | Combi-Volkite Charger -> gear-combi-volkite | max=5 field=selections scope=parent
    LINK hq-centurion-ret-command-w-6 | Flamer -> gear-flamer | max=5 field=selections scope=parent
    LINK hq-centurion-ret-command-w-7 | Meltagun -> gear-meltagun | max=5 field=selections scope=parent
    LINK hq-centurion-ret-command-w-8 | Plasma Gun -> gear-plasma-gun | max=5 field=selections scope=parent
    LINK hq-centurion-ret-command-w-9 | Volkite Charger -> gear-volkite-charger | max=5 field=selections scope=parent
    LINK hq-centurion-ret-command-w-10 | Volkite Caliver -> gear-volkite-caliver | max=5 field=selections scope=parent
    LINK hq-centurion-ret-command-w-11 | Rotor Cannon -> gear-rotor | max=5 field=selections scope=parent
    LINK hq-centurion-ret-command-w-12 | Hand Flamer -> gear-hand-flamer | max=5 field=selections scope=parent
    LINK hq-centurion-ret-command-w-13 | Plasma Pistol -> gear-plasma-pistol | max=5 field=selections scope=parent
    LINK hq-centurion-ret-command-w-14 | Rending Weapon -> gear-rending | max=5 field=selections scope=parent
    LINK hq-centurion-ret-command-w-15 | Power Weapon -> gear-power-weapon | max=5 field=selections scope=parent
    LINK hq-centurion-ret-command-w-16 | Lightning Claw -> gear-lightning-claw | max=5 field=selections scope=parent
    LINK hq-centurion-ret-command-w-17 | Power Fist -> gear-power-fist | max=5 field=selections scope=parent
    LINK hq-centurion-ret-command-w-18 | Thunder Hammer -> gear-thunder | max=5 field=selections scope=parent
    LINK da22-alt-pp-18 | Calibanite Plasma Pistol -> da22-plasma-pistol | max=5 field=selections scope=parent
    LINK da22-alt-pg-5 | Calibanite Plasma Gun -> da22-plasma-gun | max=5 field=selections scope=parent
    LINK da22-alt-pr-5 | Plasma Repeater -> da22-plasma-repeater | max=5 field=selections scope=parent
    LINK da22-alt-pb-5 | Plasma Burner -> da22-plasma-burner | max=5 field=selections scope=parent
    LINK r40-da-warblade-hq-centurion-ret-command-w-15 | Calibanite Warblade -> da22-warblade | max=5 field=selections scope=parent
  GROUP hq-centurion-ret-tc-armour | Terminator Armour Pattern | min=1 field=selections scope=parent; max=1 field=selections scope=parent
    LINK hq-centurion-ret-tc-arm-n | Terminator Armour -> gear-hq-terminator | min=1 field=selections scope=parent; max=1 field=selections scope=parent
    LINK hq-centurion-ret-tc-arm-t | Tartaros Terminator Armour -> gear-hq-tartaros | max=1 field=selections scope=parent
    LINK hq-centurion-ret-tc-arm-c | Cataphractii Terminator Armour -> gear-hq-cataphractii | max=1 field=selections scope=parent
  GROUP hq-centurion-ret-tc-melee | Power Weapon Replacements (per model) | max=5 field=selections scope=parent
    LINK hq-centurion-ret-tc-m-0 | Power Fist -> gear-power-fist | max=5 field=selections scope=parent
    LINK hq-centurion-ret-tc-m-1 | Lightning Claw -> gear-lightning-claw | max=5 field=selections scope=parent
    LINK hq-centurion-ret-tc-m-2 | Chainfist -> gear-chainfist | max=5 field=selections scope=parent
    LINK hq-centurion-ret-tc-m-3 | Thunder Hammer -> gear-thunder | max=5 field=selections scope=parent
  GROUP hq-centurion-ret-tc-pair | Replace both Combi-Bolter and Power Weapon | max=5 field=selections scope=parent
    LINK hq-centurion-ret-tc-pair-link | Pair of Lightning Claws -> gear-pair-claws | max=5 field=selections scope=parent
  GROUP hq-centurion-ret-tc-heavy | Heavy Weapon (one model only) | max=1 field=selections scope=parent
    LINK hq-centurion-ret-tc-h-0 | Heavy Flamer -> gear-heavy-flamer | max=1 field=selections scope=parent
    LINK hq-centurion-ret-tc-h-1 | Reaper Autocannon -> gear-reaper-autocannon | max=1 field=selections scope=parent
    LINK hq-centurion-ret-tc-h-2 | Plasma Blaster -> gear-plasma-blaster | max=1 field=selections scope=parent
    LINK hq-centurion-ret-tc-h-3 | Assault Cannon -> gear-assault-cannon | max=1 field=selections scope=parent
    LINK hq-centurion-ret-tc-h-4 | Cyclone Missile Launcher -> gear-cyclone | max=1 field=selections scope=parent
  GROUP r52-hq-centurion-ec-armoury | Emperor's Children Armoury | 
    LINK r52-hq-centurion-ec-sonic | Sonic Weaponry (one Praetor or Centurion per army) -> r52-ec-sonic-character | max=1 field=selections scope=parent
  GROUP r57-hq-centurion-iw | Iron Warriors Armoury | 
    ENTRY r57-hq-centurion-iw-servo | Servo-Arm | cost=30 | max=1 field=selections scope=parent
    ENTRY r57-hq-centurion-iw-bionics | Bionics | cost=5 | max=1 field=selections scope=parent
  GROUP r60-hq-centurion-ws-armoury | White Scars Armoury | 
    ENTRY r60-hq-centurion-glaive | Power Glaive | cost=25 | max=1 field=selections scope=parent
    ENTRY r60-hq-centurion-talisman | Horsetail Talisman | cost=25 | max=1 field=selections scope=parent
  GROUP r63-sw-hq-centurion-armoury | Space Wolves Armoury | 
    LINK r63-sw-hq-centurion-armoury-frost | Frost Weapon -> r63-sw-gear-frost | max=1 field=selections scope=parent
    LINK r63-sw-hq-centurion-armoury-frost-exchange | Frost Weapon — Power Weapon exchange -> r63-sw-gear-frost-exchange | max=1 field=selections scope=parent
    LINK r63-sw-hq-centurion-armoury-pelt | Wolf Pelt -> r63-sw-gear-pelt | max=1 field=selections scope=parent
    LINK r63-sw-hq-centurion-armoury-necklace | Wolf Tooth Necklace -> r63-sw-gear-necklace | max=1 field=selections scope=parent
    LINK r63-sw-hq-centurion-armoury-talisman | Wolf Tail Talisman -> r63-sw-gear-talisman | max=1 field=selections scope=parent
    LINK r63-sw-hq-centurion-armoury-great-frost | Great Frost Blade -> r63-sw-gear-great-frost | max=1 field=selections scope=parent
    LINK r63-sw-hq-centurion-armoury-runic-armour | Runic Armour -> r63-sw-gear-runic-armour | max=1 field=selections scope=parent
  GROUP r64-if-hq-centurion-armoury | Imperial Fists Armoury | max=5 field=selections scope=parent
    LINK r64-if-hq-centurion-solar | Solarite Power Gauntlet -> r64-if-gear-solarite | max=1 field=selections scope=parent
    LINK r64-if-hq-centurion-solar-ex | Solarite Power Gauntlet — exchange Power Fist -> r64-if-gear-solarite-exchange | max=1 field=selections scope=parent
    LINK r64-if-hq-centurion-shield | Vigil Pattern Storm Shield -> r64-if-gear-vigil | max=1 field=selections scope=parent
    LINK r64-if-hq-centurion-trans | Teleportation Transponders -> r64-if-gear-trans-ic | max=1 field=selections scope=parent

=== GENERIC SERGEANT / RETINUE ARMOURY CANDIDATES ===
ENTRY tactical-unit | Legion Tactical Squad
  GROUP sgt-armoury | Sergeant Armoury (max 50 pts) | max=50 field=pts scope=parent
    LINK rev24-tactical-unit-sgt-refractor | Refractor Field -> gear-hq-refractor | max=1 field=selections scope=parent
    LINK r39-phosphex-sgt-armoury | Phosphex Bomb (Destroyer Company) -> gear-phosphex-bomb | max=1 field=selections scope=parent
    LINK r63-sw-arm-0-frost | Frost Weapon -> r63-sw-gear-frost | max=1 field=selections scope=parent
    LINK r63-sw-arm-0-frost-exchange | Frost Weapon — Power Weapon exchange -> r63-sw-gear-frost-exchange | max=1 field=selections scope=parent
    LINK r63-sw-arm-0-pelt | Wolf Pelt -> r63-sw-gear-pelt | max=1 field=selections scope=parent
    LINK r63-sw-arm-0-necklace | Wolf Tooth Necklace -> r63-sw-gear-necklace | max=1 field=selections scope=parent
    LINK r63-sw-arm-0-talisman | Wolf Tail Talisman -> r63-sw-gear-talisman | max=1 field=selections scope=parent
    LINK r67-if-sgt-armoury-solarite | Solarite Power Gauntlet -> r64-if-gear-solarite | max=1 field=selections scope=parent
    LINK r67-if-sgt-armoury-solarite-ex | Solarite Power Gauntlet — exchange Power Fist -> r64-if-gear-solarite-exchange | max=1 field=selections scope=parent
  GROUP sgt-weapons | Sergeant Armoury - Weapons | max=2 field=selections scope=parent
    LINK r39-phosphex-sgt-weapons | Phosphex Bomb (Destroyer Company) -> gear-phosphex-bomb | max=1 field=selections scope=parent
    LINK r63-sw-arm-1-frost | Frost Weapon -> r63-sw-gear-frost | max=1 field=selections scope=parent
    LINK r63-sw-arm-1-frost-exchange | Frost Weapon — Power Weapon exchange -> r63-sw-gear-frost-exchange | max=1 field=selections scope=parent
    LINK r63-sw-arm-1-pelt | Wolf Pelt -> r63-sw-gear-pelt | max=1 field=selections scope=parent
    LINK r63-sw-arm-1-necklace | Wolf Tooth Necklace -> r63-sw-gear-necklace | max=1 field=selections scope=parent
    LINK r63-sw-arm-1-talisman | Wolf Tail Talisman -> r63-sw-gear-talisman | max=1 field=selections scope=parent
  GROUP sgt-single | Single-Handed Weapons | max=2 field=selections scope=parent
    LINK sgt-handflamer | Hand Flamer -> gear-hand-flamer | max=1 field=selections scope=parent
    LINK sgt-claw | Lightning Claw -> gear-lightning-claw | max=1 field=selections scope=parent
    LINK sgt-pp | Plasma Pistol -> gear-plasma-pistol | max=1 field=selections scope=parent
    LINK sgt-fist | Power Fist -> gear-power-fist | max=1 field=selections scope=parent
    LINK sgt-pw | Power Weapon -> gear-power-weapon | max=1 field=selections scope=parent
    LINK sgt-rending | Rending Weapon -> gear-rending | max=1 field=selections scope=parent
    LINK sgt-th | Thunder Hammer -> gear-thunder | max=1 field=selections scope=parent
    LINK sgt-serpenta | Volkite Serpenta -> gear-volkite-serpenta | max=1 field=selections scope=parent
    LINK da22-alt-pp-0 | Calibanite Plasma Pistol -> da22-plasma-pistol | max=1 field=selections scope=parent
    LINK r40-da-warblade-sgt-pw | Calibanite Warblade -> da22-warblade | max=1 field=selections scope=parent
